subjID,starttime,useragent,strength,wind,delete,attempts,return,location
connect-19BD49C073C342FFB0E47561FD0A0482,1703865025208,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'left'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'c'}"
connect-7E0D9F23EB824361ABA9A049C64208D5,1703707499194,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-1501C5CE8BBE4B789CD17DD9FDB6A737,1703865011092,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-35C167A8A69C44C6901146BCBDA40868,1703865006115,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-4C241572C44A465A8DDB0D6512E80B91,1703866059298,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-4B0CE07C4F434476AF0B131C45E7AB28,1703864996918,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-1304BAAAAFA04DEE959F8EC00A5E49F6,1703864995740,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-1A8CD277EE374907A48DB2469B9443F8,1703707754021,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-0F07CDB90B904FB79C385106E46337DE,1703865014570,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-4ECCC073A845416680A6078E5A14A8F7,1703709409006,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '3'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'a'}"
connect-EC304583F3AC4B45B6B79A840A0443A0,1703866722447,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'c'}"
connect-C809D394C2CD4B3296F6F24D523DE626,1703864982442,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'earth'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-5F8C795604094A3CB7FDE1F1A3955387,1703707571724,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:121.0) Gecko/20100101 Firefox/121.0,"{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
connect-B9360F5511954062A797B1228A4AF9E9,1703865000800,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'c'}"
connect-7CF9BDBEF5A8487E9059DF7AEDC12B6A,1703865007391,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'undo'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-F8D52DE7E5634302BB8D6890E6DDBA3F,1703865011971,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'b'}"
connect-AF702843D08345DDB622016021A53AD9,1703865030102,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36","{'q': 'Which environment has stronger gravity?', 'corr': 'jupiter', 'a': 'jupiter'}","{'q': 'Which direction does the wind push the marble if this is the icon you see?', 'corr': 'right', 'a': 'right'}","{'q': ""What should you do to delete the last line after you've drawn it?"", 'corr': 'undo', 'a': 'clear'}","{'q': 'How many attempts do you have per round?', 'corr': '5', 'a': '5'}","{'q': 'You can return to a previous LEVEL after the game.', 'corr': 'false', 'a': 'false'}","{'q': 'Where would be the end destination of the marble in this trial?', 'corr': 'a', 'a': 'd'}"
